County,Deaths
Adams,0.00
Allen,1.00
Bartholomew,0.00
Boone,0.00
Brown,0.00
Carroll,0.00
Cass,0.00
Clark,0.00
Clay,0.00
Clinton,0.00
Crawford,0.00
Dearborn,1.00
Decatur,1.00
Dekalb,0.00
Delaware,1.00
Dubois,0.00
Elkhart,1.00
Fayette,1.00
Floyd,0.00
Fountain,0.00
Franklin,4.00
Fulton,0.00
Gibson,0.00
Grant,0.00
Greene,0.00
Hamilton,0.00
Hancock,2.00
Harrison,0.00
Hendricks,1.00
Henry,0.00
Howard,1.00
Huntington,0.00
Jackson,0.00
Jasper,1.00
Jefferson,0.00
Jennings,0.00
Johnson,3.00
Knox,0.00
Kosciusko,0.00
LaGrange,0.00
Lake,5.00
LaPorte,0.00
Lawrence,0.00
Madison,1.00
Marion,17.00
Marshall,0.00
Miami,0.00
Monroe,0.00
Montgomery,0.00
Morgan,1.00
Newton,0.00
Noble,0.00
Ohio,0.00
Orange,0.00
Owen,0.00
Porter,0.00
Posey,0.00
Putnam,1.00
Randolph,0.00
Ripley,1.00
Rush,0.00
Scott,1.00
Shelby,0.00
StJoseph,1.00
Starke,0.00
Steuben,0.00
Sullivan,0.00
Switzerland,0.00
Tippecanoe,1.00
Tipton,0.00
Vander,0.00
Verm,0.00
Vigo,1.00
Wabash,0.00
Warren,1.00
Warrick,0.00
Washington,0.00
Wayne,0.00
Wells,0.00
White,0.00
Whitley,0.00
